loss,accuracy,val_loss,val_accuracy,lr
1.6216197,0.33732772,1.566603,0.3614309,0.0005
1.3542016,0.46781015,1.4778998,0.4215552,0.0005
1.2306511,0.51918864,1.2875628,0.49232456,0.0005
1.1482848,0.55094767,1.2212951,0.5075841,0.0005
1.0931683,0.57225096,1.149478,0.54979897,0.0005
1.0513959,0.5861921,1.0943749,0.5643275,0.0005
1.0193775,0.5986059,1.1987636,0.52896565,0.0005
0.98944217,0.6127036,1.1335475,0.5635051,0.0005
0.96166897,0.6237469,1.0718541,0.57794225,0.0005
0.9362904,0.6349859,1.1977639,0.53216374,0.0005
0.911649,0.64469767,1.2020165,0.5389254,0.0005
0.8938618,0.6525298,1.0711937,0.59032345,0.0005
0.86328626,0.6649045,1.08624,0.5849323,0.0005
0.84463894,0.6721491,1.0896866,0.58758223,0.0005
0.8258641,0.67986375,1.1070951,0.570678,0.0005
0.804102,0.6875783,1.0770367,0.5999634,0.0005
0.7765846,0.69662434,1.118288,0.5927449,0.0005
0.7662076,0.70198935,1.0413778,0.60293317,0.0005
0.7395277,0.7121711,1.1233557,0.59566885,0.0005
0.72994447,0.7181626,1.0838765,0.60846126,0.0005
0.7024418,0.72599465,1.1032113,0.60320723,0.0005
0.6918556,0.73394424,1.0980384,0.60823286,0.0005
0.65993035,0.74502665,1.0748489,0.6210709,0.0005
0.64426124,0.75133145,1.1448872,0.6039382,0.0005
0.6297052,0.75516915,1.2347606,0.59260786,0.0005
0.616616,0.76213974,1.1625289,0.60512614,0.0005
0.58768356,0.7749452,1.2974014,0.5638706,0.0005
0.5831341,0.7742795,1.1727954,0.61965466,0.0005
0.55807424,0.78563595,1.1840998,0.60562867,0.0005
0.5348847,0.7921366,1.2507174,0.6083699,0.0005
0.53122646,0.7957002,1.1994518,0.61435485,0.0005
0.50614357,0.80721337,1.1927319,0.6039382,0.0005
0.48530966,0.81253916,1.291427,0.61586255,0.0005
0.47351336,0.81817824,1.2244128,0.6127101,0.0005
0.4616315,0.8216244,1.4036195,0.5897752,0.0005
0.45486718,0.82483554,1.3571979,0.60023755,0.0005
0.4318247,0.8345082,1.3770978,0.6031616,0.0005
0.4168913,0.8400298,1.3371663,0.61403507,0.0005
0.3935002,0.84813595,1.4807415,0.60064876,0.0005
0.38897222,0.851817,1.5453687,0.58799344,0.0005
0.38456053,0.8524828,1.3200617,0.61846673,0.0005
0.34904346,0.8663456,1.4954015,0.5955775,0.0005
0.35474044,0.8643875,1.3995817,0.60969484,0.0005
0.32969338,0.8725329,1.528136,0.61161363,0.0005
0.3288558,0.8744126,1.6056472,0.6172789,0.0005
0.32278204,0.87523496,1.4627298,0.60846126,0.0005
0.30473053,0.8834586,1.5341531,0.61028874,0.0005
0.28737468,0.89027256,1.6392183,0.5989583,0.0005
0.29172176,0.8880796,1.6356791,0.5870797,0.0005
0.27998117,0.89505017,1.5457039,0.5985471,0.0005
0.26082033,0.9026864,1.5967475,0.6075475,0.0005
0.2584387,0.9010025,1.6541425,0.5939784,0.0005
0.24502009,0.90965694,1.5906374,0.6046692,0.0005
0.24913982,0.90531015,1.5404394,0.60645103,0.0005
0.23372184,0.9106751,1.7491815,0.6037098,0.0005
0.21575527,0.9174499,1.72015,0.59406984,0.0005
0.22012351,0.91846806,1.6306465,0.60247624,0.0005
0.21336894,0.9200736,1.5461464,0.61440057,0.0005
0.1953336,0.92751414,1.6593992,0.61586255,0.0005
0.19483861,0.9267309,1.7352552,0.59763336,0.0005
0.18963836,0.93115604,1.7571614,0.6000548,0.0005
0.18524283,0.9317826,1.7013518,0.6076389,0.0005
0.18012169,0.9332707,1.8740429,0.5880848,0.0005
0.17275196,0.9348371,1.8555667,0.5994152,0.0005
0.16261207,0.9401629,1.8300344,0.610106,0.0005
0.1616855,0.9396538,1.9588314,0.59749633,0.0005
0.16539282,0.93824404,1.8677356,0.60398394,0.0005
0.16145945,0.9412594,1.7732308,0.59681106,0.0005
0.15221593,0.9437265,1.8284853,0.60412097,0.0005
0.1484642,0.94529295,1.7594616,0.62002015,0.0005
0.1247427,0.9539082,1.8696442,0.6054459,0.0005
0.1505996,0.9461544,1.9349267,0.5983187,0.0005
0.1352853,0.9508537,1.9320402,0.6092836,0.0005
0.05773362,0.97979325,2.1160693,0.611568,0.00020000001
0.041377183,0.985354,2.4160893,0.6118878,0.00020000001
0.0476278,0.98233867,2.3585446,0.6183754,0.00020000001
0.042047203,0.98433584,2.5011895,0.61613667,0.00020000001
0.025191946,0.9908756,2.5727353,0.617553,8.0000005e-05
0.019425487,0.9938127,2.664946,0.6149488,8.0000005e-05
0.018110948,0.99404764,2.7812681,0.61207056,8.0000005e-05
0.015710019,0.9945567,2.8909593,0.6149945,8.0000005e-05
0.014577603,0.99487,3.0046577,0.6186952,8.0000005e-05
0.016968483,0.9945959,3.0578609,0.6194262,8.0000005e-05
0.01609512,0.9945959,3.1036677,0.61376095,8.0000005e-05
0.009514436,0.9974154,3.1112986,0.6159996,3.2000004e-05
0.008960041,0.9975329,3.159089,0.61586255,3.2000004e-05
0.008689512,0.996828,3.1741545,0.61974597,3.2000004e-05
0.00866547,0.9975329,3.2369206,0.61737025,3.2000004e-05
