loss,accuracy,val_loss,val_accuracy,lr
1.6779046,0.33106202,1.64308,0.3434302,0.0005
1.469174,0.4178415,1.5553255,0.38728985,0.0005
1.3392899,0.48511904,1.4260976,0.45143458,0.0005
1.2576625,0.5138236,1.3514328,0.48866957,0.0005
1.1973808,0.5396695,1.2486196,0.52425987,0.0005
1.1519848,0.55317986,1.2859235,0.50548244,0.0005
1.1118288,0.5670426,1.2582668,0.52348316,0.0005
1.08564,0.5782425,1.2406738,0.5134777,0.0005
1.0565424,0.58975565,1.1644506,0.55377376,0.0005
1.0204098,0.60307014,1.1628348,0.56195176,0.0005
0.9935117,0.6141918,1.2466311,0.50264984,0.0005
0.97192746,0.62496084,1.3031039,0.4766082,0.0005
0.9407809,0.63870615,1.2204801,0.5348593,0.0005
0.9128806,0.6507284,1.1505424,0.57168317,0.0005
0.88650703,0.6592262,1.1493287,0.56652045,0.0005
0.8468489,0.6788064,1.1447701,0.5663377,0.0005
0.8214478,0.6864035,1.107535,0.58397293,0.0005
0.789052,0.7024593,1.2724435,0.52037644,0.0005
0.76889676,0.7080592,1.1517,0.5688505,0.0005
0.7299901,0.7241541,1.1725848,0.5542306,0.0005
0.70701826,0.73335683,1.147599,0.5740132,0.0005
0.6738603,0.74573153,1.1903074,0.5721857,0.0005
0.64579153,0.7559916,1.1956894,0.55596673,0.0005
0.6173487,0.77079415,1.2077808,0.5599872,0.0005
0.58563614,0.78089756,1.248575,0.5688048,0.0005
0.5641645,0.79092264,1.2280574,0.5640991,0.0005
0.54194605,0.7975407,1.2612872,0.5581597,0.0005
0.51552653,0.8067826,1.2948304,0.55907345,0.0005
0.48900205,0.8187265,1.3082372,0.5662006,0.0005
0.45532525,0.8350564,1.3360648,0.5622716,0.0005
0.4430809,0.83493894,1.3281232,0.5720943,0.0005
0.4272014,0.84496397,1.4504642,0.5444079,0.0005
0.4018064,0.85381424,1.3599833,0.57410455,0.0005
0.3874939,0.859375,1.377205,0.5649214,0.0005
0.36035043,0.8675204,1.5527194,0.54573286,0.0005
0.35502568,0.87010497,1.4081073,0.53961074,0.0005
0.34084493,0.8776629,1.4170077,0.5681652,0.0005
0.32289976,0.88251877,1.648439,0.54308295,0.0005
0.31271097,0.8859257,1.47784,0.5615406,0.0005
0.2911449,0.8943844,1.4698038,0.58008957,0.0005
0.28079677,0.89751726,1.7468934,0.52028507,0.0005
0.27816987,0.89990604,1.5368202,0.5680281,0.0005
0.2676623,0.90237314,1.5156405,0.5611751,0.0005
0.24225086,0.91290724,1.6666201,0.56446457,0.0005
0.24824437,0.9110667,1.575878,0.56021565,0.0005
0.24073088,0.9130639,1.6991706,0.55386513,0.0005
0.22735207,0.9203869,1.7146162,0.5492964,0.0005
0.21215501,0.92430294,1.717967,0.5527686,0.0005
0.22444135,0.91976035,1.630353,0.56688595,0.0005
0.20445742,0.9278666,1.712815,0.5542763,0.0005
0.2103773,0.9253211,1.5625072,0.57483554,0.0005
0.19832017,0.929198,1.6240417,0.56167763,0.0005
0.18590073,0.9333882,1.7502445,0.5546875,0.0005
0.18471654,0.93507206,1.7600015,0.53659534,0.0005
0.17889616,0.9362469,1.6216371,0.5561952,0.0005
0.1715351,0.940437,1.7404579,0.5688505,0.0005
0.18020879,0.9363252,1.7836285,0.55738306,0.0005
0.16174105,0.9433349,1.873337,0.55112386,0.0005
0.16395214,0.9423167,1.7695684,0.5469664,0.0005
0.16054672,0.94149435,1.8984804,0.54495615,0.0005
0.15418777,0.9457629,1.7135658,0.56016994,0.0005
0.14986214,0.94689846,1.7973095,0.5432657,0.0005
0.14704141,0.94807327,1.923969,0.5555556,0.0005
