loss,accuracy,val_loss,val_accuracy,lr
1.7876652,0.28461778,1.7669206,0.29737756,0.0005
1.6477612,0.34664786,1.7340703,0.2595943,0.0005
1.5500407,0.38482928,1.6258969,0.34434393,0.0005
1.4873358,0.41369048,1.6530739,0.3448008,0.0005
1.4344146,0.43182176,1.4210268,0.4612573,0.0005
1.3947104,0.4506579,1.3959019,0.46610016,0.0005
1.3530786,0.4644032,1.4794465,0.42315423,0.0005
1.315572,0.48018485,1.3739103,0.4595669,0.0005
1.2917743,0.49181545,1.3453903,0.48633954,0.0005
1.2612573,0.5031328,1.3101342,0.49552268,0.0005
1.2376952,0.5110824,1.4677799,0.39724964,0.0005
1.2254424,0.5155075,1.3197125,0.4708973,0.0005
1.2038952,0.5221648,1.3662629,0.46651134,0.0005
1.1806897,0.5303493,1.3633219,0.4739583,0.0005
1.1722177,0.5366541,1.3494865,0.4718567,0.0005
1.1544721,0.5406877,1.2415802,0.50909173,0.0005
1.1355623,0.5497337,1.2424331,0.5127467,0.0005
1.1367724,0.5483239,1.2580085,0.5056652,0.0005
1.1140554,0.55889726,1.2418978,0.5240314,0.0005
1.1040814,0.56109023,1.2672696,0.5088177,0.0005
1.0953088,0.5646538,1.2921357,0.493284,0.0005
1.0815933,0.57146776,1.2150053,0.53650403,0.0005
1.0672638,0.5765194,1.2704059,0.51448286,0.0005
1.0631778,0.5792607,1.267808,0.5215643,0.0005
1.052742,0.5816103,1.2396243,0.52969664,0.0005
1.035377,0.5899123,1.2450527,0.5167215,0.0005
1.0271611,0.5951989,1.3173344,0.5066246,0.0005
1.0192969,0.5961388,1.2761517,0.5224781,0.0005
1.0056314,0.59962404,1.2678001,0.51905155,0.0005
0.99824655,0.605459,1.3279023,0.5107822,0.0005
0.9839535,0.61000156,1.2965987,0.51690423,0.0005
0.9771774,0.61305606,1.252278,0.53938234,0.0005
0.9657942,0.61611056,1.3870724,0.5010965,0.0005
0.9596086,0.6226112,1.3918785,0.48163378,0.0005
0.94782233,0.6251958,1.3380828,0.5232091,0.0005
0.9322295,0.6338502,1.3425469,0.5013249,0.0005
0.9296104,0.6325971,1.2838475,0.5360928,0.0005
0.9183279,0.63616073,1.3225654,0.51754385,0.0005
0.9142444,0.6371789,1.3592958,0.5077211,0.0005
0.8984957,0.64634246,1.3939784,0.51087356,0.0005
0.88913596,0.64873123,1.3340523,0.5385599,0.0005
0.88600314,0.6531172,1.3377941,0.5333516,0.0005
0.8716806,0.6597744,1.3667171,0.5329404,0.0005
0.85518,0.66400373,1.3756855,0.53591007,0.0005
0.8540307,0.663808,1.4107568,0.54184943,0.0005
0.85241914,0.6635338,1.4412111,0.52928543,0.0005
0.8329214,0.67567354,1.410507,0.5296509,0.0005
