loss,accuracy,val_loss,val_accuracy,lr
1.715364,0.3062735,1.7393985,0.29372257,0.0005
1.4957172,0.41138,1.9420902,0.2720669,0.0005
1.3579495,0.46240604,1.6773825,0.3444353,0.0005
1.2792397,0.49592733,1.6141993,0.40583882,0.0005
1.2288417,0.51292294,1.730181,0.36485747,0.0005
1.1951364,0.5298794,1.7911505,0.3218202,0.0005
1.1646807,0.54100096,1.6476347,0.37513706,0.0005
1.1359282,0.550047,1.6782526,0.37143642,0.0005
1.1140188,0.5599546,1.7385821,0.3241502,0.0005
1.0848982,0.57123274,1.6430614,0.3926809,0.0005
1.074827,0.57483554,1.6479248,0.38582784,0.0005
1.0497006,0.5861529,1.5449495,0.42598683,0.0005
1.0281998,0.5932409,1.5205406,0.4247533,0.0005
1.0071511,0.60369676,1.4658768,0.4303728,0.0005
0.9896917,0.6108631,1.6225617,0.39185858,0.0005
0.9652855,0.61963505,1.7432895,0.36403507,0.0005
0.94762564,0.626958,1.5424824,0.42612392,0.0005
0.9278499,0.63694394,1.5246737,0.4364035,0.0005
0.9066897,0.6445019,1.7709217,0.37856358,0.0005
0.8839948,0.6510025,1.3355544,0.49917763,0.0005
0.874268,0.6579339,1.3795587,0.48163378,0.0005
0.85115665,0.667959,1.4930156,0.43777412,0.0005
0.83235073,0.67504704,1.5621936,0.45627743,0.0005
0.8131393,0.6865993,1.3961849,0.48506027,0.0005
0.7863739,0.69423556,1.3697162,0.49424344,0.0005
0.76814175,0.7028509,1.3438928,0.50054824,0.0005
0.7494713,0.7080201,1.5137947,0.47162828,0.0005
0.7286957,0.71506894,1.393954,0.515625,0.0005
0.7112495,0.72654295,1.6098416,0.45737392,0.0005
0.704507,0.7268562,1.4600642,0.5024671,0.0005
0.6793808,0.73660713,1.6073893,0.4666941,0.0005
0.665483,0.74060154,1.5739048,0.48410088,0.0005
0.6480528,0.7505874,1.5601479,0.49520284,0.0005
0.6319756,0.7557174,1.6093293,0.4883498,0.0005
0.62443227,0.7583412,1.6858325,0.46504933,0.0005
0.6021752,0.7683662,1.5450459,0.49438047,0.0005
0.58516073,0.773927,1.5742475,0.49369517,0.0005
0.5651008,0.78316885,1.5753504,0.51027966,0.0005
0.56672895,0.78207237,1.7210945,0.47066885,0.0005
0.54390484,0.7912359,1.5764672,0.50233006,0.0005
0.5367615,0.7937813,1.588469,0.50013703,0.0005
0.5203711,0.7975407,1.6455014,0.5026041,0.0005
0.5083498,0.8029449,1.523196,0.51521385,0.0005
0.49825314,0.8072133,1.523411,0.5126096,0.0005
0.48661768,0.8125783,1.6740046,0.48999453,0.0005
0.47598487,0.8161419,1.5605978,0.5106908,0.0005
0.46184346,0.82268167,1.6781292,0.51082784,0.0005
0.45371622,0.82628447,1.5902479,0.5079496,0.0005
0.4500795,0.8273418,1.5989685,0.5182291,0.0005
0.43325466,0.8329418,1.6453125,0.5191886,0.0005
0.42473117,0.8394424,1.6387976,0.5263158,0.0005
0.41124344,0.8416745,1.6913954,0.517818,0.0005
0.40192214,0.8460213,1.7232106,0.50973135,0.0005
0.38512123,0.8527961,1.5640032,0.5372807,0.0005
0.37567982,0.8527961,1.7104379,0.5038377,0.0005
0.36506706,0.8596883,1.6575532,0.5176809,0.0005
0.37006974,0.8598449,1.8077704,0.48862392,0.0005
0.360367,0.8624295,1.8119886,0.4942434,0.0005
0.3430779,0.8703791,1.7908001,0.49520284,0.0005
0.34038037,0.8699483,1.736256,0.5231634,0.0005
0.33019412,0.8750783,1.8619386,0.50479716,0.0005
0.32926437,0.87276787,1.7156439,0.5126096,0.0005
0.30649352,0.88361526,1.7372478,0.5053454,0.0005
0.3051188,0.88212717,1.7973267,0.5370066,0.0005
0.30161384,0.8836545,1.7090247,0.53865135,0.0005
0.30097514,0.8849859,1.7705679,0.5157621,0.0005
0.2915129,0.8910949,1.7879891,0.52823466,0.0005
0.27361232,0.8947369,1.8696975,0.52001095,0.0005
0.27784744,0.8941103,1.9516166,0.50438595,0.0005
0.2613591,0.8992795,1.825526,0.51891446,0.0005
