Predicted Labels,Actual Labels
angry,angry
angry,angry
fear,angry
happy,angry
angry,angry
fear,angry
disgust,angry
angry,angry
disgust,angry
angry,angry
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
fear,angry
disgust,angry
angry,angry
neutral,angry
angry,angry
fear,angry
angry,angry
fear,angry
fear,angry
disgust,angry
angry,angry
angry,angry
angry,angry
neutral,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
happy,angry
happy,angry
happy,angry
angry,angry
disgust,angry
happy,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
happy,angry
angry,angry
fear,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
fear,angry
angry,angry
happy,angry
fear,angry
happy,angry
angry,angry
disgust,angry
fear,angry
angry,angry
angry,angry
happy,angry
disgust,angry
angry,angry
angry,angry
angry,angry
happy,angry
fear,angry
angry,angry
angry,angry
angry,angry
happy,angry
happy,angry
happy,angry
angry,angry
fear,angry
fear,angry
angry,angry
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
disgust,angry
happy,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
happy,angry
fear,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
disgust,angry
happy,angry
angry,angry
disgust,angry
happy,angry
happy,angry
fear,angry
angry,angry
fear,angry
angry,angry
angry,angry
happy,angry
angry,angry
happy,angry
sad,angry
disgust,angry
angry,angry
happy,angry
angry,angry
happy,angry
disgust,angry
angry,angry
angry,angry
angry,angry
happy,angry
fear,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
happy,angry
angry,angry
happy,angry
angry,angry
angry,angry
happy,angry
happy,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
neutral,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
happy,angry
angry,angry
angry,angry
happy,angry
angry,angry
fear,angry
angry,angry
angry,angry
fear,angry
angry,angry
disgust,angry
angry,angry
angry,angry
disgust,angry
happy,angry
angry,angry
angry,angry
disgust,angry
fear,angry
fear,angry
happy,angry
angry,angry
happy,angry
angry,angry
happy,angry
happy,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
happy,angry
fear,angry
happy,angry
happy,angry
happy,angry
happy,angry
happy,angry
angry,angry
angry,angry
fear,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
happy,angry
happy,angry
sad,angry
happy,angry
angry,angry
angry,angry
angry,angry
sad,angry
