Predicted Labels,Actual Labels
angry,angry
angry,angry
happy,angry
happy,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
angry,angry
neutral,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
disgust,angry
angry,angry
angry,angry
happy,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
neutral,angry
angry,angry
angry,angry
angry,angry
neutral,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
disgust,angry
neutral,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
happy,angry
angry,angry
fear,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
neutral,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
neutral,angry
angry,angry
angry,angry
angry,angry
surprise,angry
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
disgust,angry
happy,angry
neutral,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
neutral,angry
angry,angry
happy,angry
angry,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
happy,angry
angry,angry
fear,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
fear,angry
angry,angry
happy,angry
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
angry,angry
happy,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
disgust,angry
neutral,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
fear,angry
fear,angry
angry,angry
angry,angry
angry,angry
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
angry,angry
happy,angry
disgust,angry
angry,angry
angry,angry
angry,angry
angry,angry
