loss,accuracy,val_loss,val_accuracy,lr
1.6210961,0.35209116,1.5233831,0.38007128,0.0005
1.3347222,0.4786576,1.3459603,0.4850603,0.0005
1.2544966,0.51331455,1.24665,0.5371436,0.0005
1.1857259,0.53790724,1.2811223,0.4928728,0.0005
1.1320629,0.55408055,1.2946136,0.46313047,0.0005
1.0992696,0.5683349,1.1701233,0.5642818,0.0005
1.068608,0.57495296,1.1088917,0.55715466,0.0005
1.0418084,0.58916825,1.1015236,0.57976973,0.0005
1.0156152,0.60087717,1.0640779,0.58908993,0.0005
0.99705714,0.61148965,1.1093576,0.5574287,0.0005
0.96757746,0.6183036,1.0600548,0.5911459,0.0005
0.9553872,0.6262923,1.0265357,0.61362386,0.0005
0.93511915,0.635495,1.08121,0.57963264,0.0005
0.90627503,0.64653826,1.0437729,0.6122533,0.0005
0.88797325,0.65382206,1.0490127,0.6015625,0.0005
0.869692,0.65895206,1.0477712,0.6000548,0.0005
0.8540612,0.66780233,1.0439376,0.6092379,0.0005
0.832721,0.6748904,1.0469358,0.5951206,0.0005
0.8171067,0.68330985,1.008688,0.6225329,0.0005
0.8002882,0.68804824,1.0597073,0.6067709,0.0005
0.7698174,0.70061874,1.0249226,0.61280155,0.0005
0.7555654,0.705318,1.0888851,0.6011513,0.0005
0.73919976,0.7142466,1.0627302,0.60868967,0.0005
0.71781415,0.72540724,1.0722914,0.61403507,0.0005
0.7060325,0.72599465,1.1020254,0.61101973,0.0005
0.6821357,0.7355498,1.0668823,0.62554824,0.0005
0.6703542,0.7431861,1.0727451,0.6106086,0.0005
0.6579324,0.747063,1.0410326,0.6171875,0.0005
0.6343433,0.7555999,1.0983262,0.6111568,0.0005
0.6229065,0.7577146,1.0650679,0.62075114,0.0005
0.59985304,0.7674656,1.118663,0.6328125,0.0005
0.5938508,0.7699326,1.1947762,0.6129386,0.0005
0.5774562,0.777334,1.116085,0.6121162,0.0005
0.5574301,0.7835213,1.1613152,0.6066338,0.0005
0.5422579,0.79025686,1.2303065,0.6181469,0.0005
0.52242184,0.79789317,1.2671666,0.60238487,0.0005
0.509218,0.802475,1.2234654,0.62266994,0.0005
0.49677554,0.80556864,1.2139649,0.6189693,0.0005
0.49061185,0.8109336,1.3057282,0.6132127,0.0005
0.4615597,0.82303417,1.36868,0.61513156,0.0005
0.4548843,0.82789004,1.3807108,0.59827304,0.0005
0.45082575,0.8238174,1.3271677,0.6058114,0.0005
0.41796005,0.8384242,1.3961194,0.616091,0.0005
0.42156267,0.8388941,1.38046,0.6218476,0.0005
0.40415525,0.8440241,1.4052691,0.60745615,0.0005
0.37867296,0.8539709,1.444311,0.6075932,0.0005
0.36993814,0.8571037,1.4802995,0.6133498,0.0005
0.36430037,0.85816103,1.5429914,0.61951756,0.0005
0.34937644,0.8649358,1.5002095,0.6129386,0.0005
0.3425587,0.868891,1.576711,0.62061405,0.0005
0.32276678,0.8731203,1.5047474,0.6130756,0.0005
0.324313,0.8775454,1.5221218,0.61485744,0.0005
0.30157164,0.88439846,1.6369073,0.61883223,0.0005
0.30540717,0.8810307,1.496336,0.6236294,0.0005
0.29591283,0.8861215,1.7203538,0.61814696,0.0005
0.28506163,0.89085996,1.7324148,0.5993695,0.0005
0.27284926,0.89567673,1.7242393,0.60855263,0.0005
0.25984848,0.9015116,1.6878242,0.6184211,0.0005
0.25660077,0.90155077,1.6832721,0.61006033,0.0005
0.24588731,0.90581924,1.802266,0.5840186,0.0005
0.24508972,0.90609336,1.7227383,0.61622804,0.0005
0.24084625,0.9083255,1.7754405,0.6252741,0.0005
0.23085123,0.913338,1.799717,0.6130756,0.0005
0.22784474,0.91259396,1.8173614,0.6197917,0.0005
0.20937252,0.92046523,1.8245416,0.60402966,0.0005
0.21928358,0.91600096,1.8101044,0.6014254,0.0005
0.2030667,0.9243421,1.8892124,0.60704494,0.0005
0.19898707,0.92555606,1.9441539,0.61554277,0.0005
0.1957707,0.926026,1.8335648,0.60978615,0.0005
0.19077477,0.9283365,1.8402619,0.6237664,0.0005
