loss,accuracy,val_loss,val_accuracy,lr
1.6988972,0.31786495,1.7272036,0.3207237,0.0005
1.480195,0.41835058,1.5928981,0.33566338,0.0005
1.3497725,0.46875,1.6427668,0.36430922,0.0005
1.2752957,0.49729794,1.3403767,0.47779605,0.0005
1.2307227,0.51664317,1.6081996,0.36691338,0.0005
1.194854,0.5291745,1.3368676,0.48026317,0.0005
1.1642237,0.53888625,1.2966318,0.50740135,0.0005
1.1364684,0.5525533,1.3471563,0.46066338,0.0005
1.1174561,0.5583882,1.3577231,0.48615682,0.0005
1.096081,0.5652804,1.3637354,0.4673794,0.0005
1.0787234,0.5744047,1.4131783,0.45668858,0.0005
1.0616857,0.58035713,1.3541018,0.4662829,0.0005
1.0477959,0.5861529,1.3077285,0.4882127,0.0005
1.023077,0.59375,1.5176096,0.44120064,0.0005
1.0059283,0.605459,1.4395847,0.4247533,0.0005
0.97701025,0.6146225,1.2790246,0.5117873,0.0005
0.96119225,0.6208882,1.3066108,0.5109649,0.0005
0.9476519,0.62770206,1.3519895,0.49273574,0.0005
0.9175954,0.64234805,1.3428239,0.48094848,0.0005
0.90235037,0.648183,1.44504,0.47245067,0.0005
0.8865886,0.6502585,1.3187978,0.5079496,0.0005
0.86111546,0.6646303,1.5033447,0.46367872,0.0005
0.83649254,0.67469454,1.3189663,0.5224781,0.0005
0.81909543,0.67927635,1.4105245,0.48848683,0.0005
0.79863524,0.6873042,1.2731872,0.52014804,0.0005
0.7800136,0.6974859,1.5000949,0.46820176,0.0005
0.7579786,0.7061012,1.5452919,0.48382676,0.0005
0.739688,0.7133067,1.4591956,0.5012336,0.0005
0.7237514,0.7194549,1.32306,0.5341283,0.0005
0.7054328,0.7274044,1.3966645,0.5153509,0.0005
0.68409437,0.73500156,1.4461563,0.51631033,0.0005
0.6637714,0.740719,1.5733492,0.48944628,0.0005
0.6463175,0.75152725,1.5746505,0.48067436,0.0005
0.6337254,0.7554433,1.5157087,0.5031524,0.0005
0.6132904,0.7625705,1.5101318,0.5060307,0.0005
0.6043061,0.76726973,1.4724953,0.52412283,0.0005
0.58153987,0.7748277,1.6087512,0.49095392,0.0005
0.56260043,0.78309053,1.8274682,0.4580592,0.0005
0.54690206,0.7900611,1.6903944,0.4957511,0.0005
0.54168713,0.7920191,1.5818323,0.5116502,0.0005
0.5170146,0.8018092,1.6398613,0.48560855,0.0005
0.5097003,0.80584276,1.636244,0.5145285,0.0005
0.4957446,0.80901474,1.5353707,0.5375548,0.0005
0.47600365,0.8152804,1.7322339,0.4986294,0.0005
0.46939892,0.82001877,1.7548944,0.4936952,0.0005
0.45723784,0.8240915,1.6505368,0.5142544,0.0005
0.4508398,0.8246789,1.6085413,0.5104167,0.0005
0.4367702,0.83251095,1.7594279,0.5298794,0.0005
0.43084705,0.8353697,1.7751062,0.5182291,0.0005
0.41346955,0.84132206,1.6509287,0.5444079,0.0005
0.40367496,0.8461388,1.6096528,0.52809757,0.0005
0.39207527,0.85197365,1.7652874,0.49986294,0.0005
0.38130552,0.8544799,1.8965319,0.49533993,0.0005
0.3670992,0.8623121,1.7087831,0.52494514,0.0005
0.35447568,0.86485744,2.006445,0.48629385,0.0005
0.3570829,0.8647791,1.9480889,0.49780703,0.0005
0.34275883,0.87065315,1.8739109,0.49958882,0.0005
0.34189337,0.87092733,1.9242795,0.51027966,0.0005
0.32727093,0.87554824,1.7611659,0.5416667,0.0005
0.31720346,0.87958175,2.0498292,0.49876645,0.0005
0.30567265,0.8832629,1.9215887,0.5182291,0.0005
0.30353975,0.88666975,1.8697267,0.53083885,0.0005
0.2979619,0.887453,2.2320895,0.4957511,0.0005
0.2912775,0.89027256,1.8540004,0.5390625,0.0005
0.27356246,0.8943453,2.2639618,0.47930372,0.0005
0.27804977,0.8944627,2.1218634,0.49177632,0.0005
0.26342815,0.9008459,1.8841419,0.52796054,0.0005
0.26047358,0.9022948,2.209525,0.49904057,0.0005
0.24966784,0.90628916,1.7745719,0.56688595,0.0005
0.24941546,0.9040962,2.1962578,0.48876095,0.0005
